Events,results,white_elo,black_elo,white_rating_diff,black_rating_diff,ecos,openings,time_control,termination,game_id
Rated Classical game,0-1,1584,1663,-9,8,B20,Sicilian Defense: Bowdler Attack,600+6,Normal,262
Rated Classical game,1-0,1541,1663,16,-16,B01,Scandinavian Defense: Mieses-Kotroc Variation,480+8,Normal,263
Rated Blitz game,1-0,1680,1786,13,-15,A43,Old Benoni Defense,120+2,Normal,264
Rated Classical game,0-1,1283,1224,-76,13,C40,King's Pawn Game: Damiano Defense,900+0,Normal,265
Rated Bullet game,0-1,1521,1891,-3,3,B40,Sicilian Defense: Delayed Alapin Variation,60+0,Time forfeit,266
Rated Blitz game,1-0,1881,1669,6,-5,A40,Horwitz Defense,180+0,Time forfeit,267
Rated Classical game,0-1,1643,1786,-7,7,C02,French Defense: Advance Variation #2,480+8,Normal,268
Rated Blitz game,1-0,1627,1316,3,-6,A15,English Opening: Anglo-Indian Defense,120+3,Normal,269
Rated Bullet game,1-0,1894,1518,2,-2,A43,Old Benoni Defense,60+0,Time forfeit,270
Rated Blitz game,1-0,1480,1649,16,-16,C62,Ruy Lopez: Steinitz Defense,300+3,Normal,271
Rated Bullet game,0-1,1516,1899,-3,3,A00,Van Geet Opening,60+0,Time forfeit,272
Rated Blitz game,0-1,1496,1550,-9,17,B20,Sicilian Defense: Bowdler Attack,300+3,Normal,273
Rated Blitz game,0-1,1490,1500,-8,170,C41,Philidor Defense #2,360+2,Normal,274
Rated Blitz game,0-1,1887,1623,-21,19,D00,Queen's Pawn Game,240+0,Time forfeit,275
Rated Blitz game,1/2-1/2,1771,1693,-3,3,B01,Scandinavian Defense: Mieses-Kotroc Variation,120+2,Normal,276
Rated Bullet game,0-1,1516,1896,-3,3,A00,Van't Kruijs Opening,60+0,Time forfeit,277
Rated Classical game,0-1,1519,1572,-9,9,C28,Bishop's Opening: Vienna Hybrid,480+0,Normal,278
Rated Bullet game,1-0,1896,1516,3,-3,D24,Queen's Gambit Accepted: Showalter Variation,60+0,Time forfeit,279
Rated Blitz game,0-1,1482,1336,-12,172,B20,Sicilian Defense: Bowdler Attack,300+0,Normal,280
Rated Bullet game,0-1,1098,1514,-3,2,D02,Queen's Pawn Game: Zukertort Variation,0+1,Time forfeit,281
Rated Bullet game,0-1,1095,1516,-3,2,A41,Queen's Pawn,0+1,Time forfeit,282
Rated Bullet game,0-1,1095,1516,-3,2,B00,Owen Defense: Smith Gambit,0+1,Time forfeit,283
Rated Blitz game,1-0,1696,1768,12,-14,A43,Benoni Defense: Benoni Gambit Accepted,120+2,Normal,284
Rated Classical game,0-1,1595,1546,-37,16,B20,Sicilian Defense: Staunton-Cochrane Variation,480+0,Normal,285
Rated Classical game,0-1,1567,1650,-9,9,D00,Blackmar-Diemer Gambit: Gedult Gambit,600+10,Normal,286
Rated Classical game,0-1,1510,1581,-9,9,C25,Vienna Game: Max Lange Defense,480+0,Normal,287
Rated Bullet game,1-0,1902,1518,2,-3,A41,Old Indian Defense,60+0,Normal,288
Rated Bullet game,0-1,1623,1683,-9,9,A43,Benoni Defense: Benoni Gambit Accepted,60+1,Normal,289
Rated Blitz game,1-0,1487,1640,15,-16,C00,French Defense #2,300+3,Normal,290
Rated Bullet game,0-1,1515,1904,-2,3,A00,Van Geet Opening,60+0,Normal,291
Rated Blitz game,1-0,1754,1708,10,-9,B01,Scandinavian Defense: Mieses-Kotroc Variation,120+2,Normal,292
Rated Blitz game,0-1,1866,1500,-15,440,A45,Canard Opening,180+0,Normal,293
Rated Bullet game,1-0,1904,1515,3,-2,A41,Old Indian Defense,0+1,Time forfeit,294
Rated Bullet game,0-1,1513,1907,-3,2,A00,Mieses Opening,0+1,Normal,295
Rated Classical game,1-0,1793,1731,10,-11,C43,"Russian Game: Modern Attack, Center Variation",480+0,Normal,296
Rated Blitz game,0-1,1469,1425,-12,13,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+3,Time forfeit,297
Rated Blitz game,1-0,1588,1642,13,-13,C34,"King's Gambit Accepted, MacLeod Defense",240+0,Normal,298
Rated Classical game,1-0,1388,1272,8,-10,B21,Sicilian Defense: Smith-Morra Gambit #2,1800+8,Normal,299
Rated Bullet game,1-0,1909,1510,3,-2,A40,English Defense #2,0+1,Time forfeit,300
Rated Blitz game,1/2-1/2,1851,1940,2,-37,B20,Sicilian Defense: Bowdler Attack,240+0,Time forfeit,301
Rated Bullet game,0-1,1510,1909,-2,3,A00,Van't Kruijs Opening,0+1,Normal,302
Rated Bullet game,1-0,1912,1508,2,-2,A41,Old Indian Defense,0+1,Time forfeit,303
Rated Bullet game,0-1,1508,1912,-2,2,A00,Van Geet Opening,0+1,Time forfeit,304
Rated Bullet game,1-0,1912,1508,2,-2,A41,Queen's Pawn Game: Anglo-Slav Opening,0+1,Time forfeit,305
Rated Classical game,0-1,1557,1590,-11,10,B00,"Nimzowitsch Defense: Kennedy Variation, Keres Attack",480+8,Normal,306
Rated Bullet game,1-0,1914,1506,3,-3,A40,English Defense #2,0+1,Time forfeit,307
Rated Blitz game,1-0,1474,1508,94,-91,A06,Zukertort Opening: Reversed Mexican Defense,300+0,Time forfeit,308
Rated Bullet game,0-1,1529,1890,-3,3,A04,Zukertort Opening: Sicilian Invitation,0+1,Normal,309
Rated Bullet game,1-0,1506,1914,23,-24,A00,Hungarian Opening: Sicilian Invitation,0+1,Time forfeit,310
Rated Blitz game,0-1,1629,1502,-15,15,A40,"Englund Gambit Declined, Reversed French",240+0,Normal,311
Rated Classical game,0-1,1396,1526,-7,8,C60,Ruy Lopez: Cozio Defense,1800+8,Normal,312
Rated Bullet game,1-0,1890,1529,3,-3,A41,Queen's Pawn Game: Anglo-Slav Opening,0+1,Time forfeit,313
Rated Classical game,1-0,1775,1773,11,-11,C15,"French Defense: Winawer Variation, Fingerslip Variation",540+0,Normal,314
Rated Classical game,0-1,1516,1532,-11,10,D20,"Queen's Gambit Accepted: Central Variation, Greco Variation",480+0,Normal,315
Rated Blitz game,1-0,1670,1853,186,-15,C00,French Defense: Knight Variation,240+0,Normal,316
Rated Blitz game,0-1,1457,1639,-6,7,B13,"Caro-Kann Defense: Exchange Variation, Rubinstein Variation",300+3,Time forfeit,317
Rated Classical game,1-0,1562,1558,14,-30,C30,"King's Gambit Declined, Queen's Knight Defense",480+0,Normal,318
Rated Bullet game,1-0,1500,1092,48,-4,D51,Queen's Gambit Declined: Alekhine Variation,120+0,Time forfeit,319
Rated Classical game,0-1,1512,1647,-7,8,B01,Scandinavian Defense: Mieses-Kotroc Variation,420+3,Normal,320
Rated Classical game,0-1,1432,1262,-16,21,B28,"Sicilian Defense: O'Kelly Variation, Normal System",900+0,Normal,321
Rated Classical game,1-0,1874,1720,87,-8,A43,Benoni Defense: Benoni Gambit Accepted,480+0,Normal,322
Rated Bullet game,0-1,1157,1548,-29,48,A04,Zukertort Opening: Nimzo-Larsen Variation,120+0,Time forfeit,323
Rated Classical game,0-1,1501,1494,-12,12,B00,Owen Defense,480+0,Normal,324
Rated Blitz game,0-1,1838,1856,-10,89,C21,Center Game Accepted,240+0,Normal,325
Rated Bullet game,1-0,1513,1893,22,-24,C02,"French Defense: Advance Variation, Nimzowitsch System",60+0,Normal,326
Rated Classical game,1-0,1608,1036,0,-1,B01,Scandinavian Defense: Mieses-Kotroc Variation,480+16,Normal,327
Rated Classical game,0-1,1549,1456,-14,14,C65,Ruy Lopez: Berlin Defense #2,300+8,Time forfeit,328
Rated Blitz game,1-0,1517,1568,13,-13,C41,Philidor Defense #2,300+3,Normal,329
Rated Bullet game,1-0,1869,1526,3,-3,A40,Horwitz Defense,0+1,Time forfeit,330
Rated Blitz game,1/2-1/2,1865,1633,-7,7,B02,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",180+0,Normal,331
Rated Blitz game,0-1,1473,1480,-12,11,B23,Sicilian Defense: Closed Variation,300+0,Normal,332
Rated Bullet game,1-0,1957,2036,19,-43,D37,"Queen's Gambit Declined: Harrwitz Attack, Orthodox Defense",120+0,Time forfeit,333
Rated Blitz game,1-0,1903,1609,39,-3,D81,"Gruenfeld Defense: Russian Variation, Accelerated Variation",180+0,Normal,334
Rated Bullet game,0-1,1993,1976,-34,17,A10,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",120+0,Time forfeit,335
Rated Bullet game,0-1,1523,1872,-3,4,A00,Van't Kruijs Opening,0+1,Normal,336
Rated Classical game,1-0,1489,1546,13,-14,C26,Vienna Game: Stanley Variation,480+0,Time forfeit,337
Rated Bullet game,1-0,1876,1520,3,-4,D10,Slav Defense #2,0+1,Time forfeit,338
Rated Classical game,0-1,1389,1533,-6,104,B13,"Caro-Kann Defense: Panov Attack, Gunderam Attack",1800+8,Time forfeit,339
Rated Blitz game,1-0,1828,1646,6,-7,D00,Queen's Pawn Game,240+0,Normal,340
Rated Bullet game,1-0,1596,1535,111,-8,A43,Benoni Defense: Old Benoni,120+0,Normal,341
Rated Bullet game,0-1,1516,1879,-3,3,A04,Zukertort Opening: Sicilian Invitation,0+1,Time forfeit,342
Rated Classical game,0-1,1304,1648,-3,3,B01,Scandinavian Defense: Main Line,840+0,Normal,343
Rated Bullet game,1-0,1879,1516,3,-3,D10,Slav Defense #3,0+1,Time forfeit,344
Rated Bullet game,0-1,1513,1882,-3,3,A00,Van't Kruijs Opening,0+1,Normal,345
Rated Bullet game,1-0,1882,1513,3,-3,A40,Horwitz Defense,0+1,Time forfeit,346
Rated Classical game,0-1,1394,1727,-3,4,D20,Queen's Gambit Accepted: Old Variation,300+5,Normal,347
Rated Classical game,1-0,1035,1608,35,-21,A00,Van't Kruijs Opening,480+16,Time forfeit,348
Rated Bullet game,1-0,1993,1959,14,-28,E07,Catalan Opening: Closed Variation,120+0,Normal,349
Rated Bullet game,0-1,1510,1885,-3,3,A00,Van Geet Opening,0+1,Time forfeit,350
Rated Classical game,0-1,1500,1500,-163,162,C42,Russian Game: Urusov Gambit,1320+8,Normal,351
Rated Classical game,0-1,1721,1712,-11,15,A43,Benoni Defense: Benoni Gambit Accepted,480+0,Normal,352
Rated Bullet game,1-0,1885,1510,3,-3,A40,Queen's Pawn,0+1,Time forfeit,353
Rated Blitz game,0-1,1639,1834,-6,7,A13,English Opening: Agincourt Defense,240+0,Normal,354
Rated Classical game,1-0,1576,1655,18,-14,B01,Scandinavian Defense: Mieses-Kotroc Variation,480+0,Normal,355
Rated Bullet game,1-0,1707,1527,55,-6,D20,"Queen's Gambit Accepted: Central Variation, Modern Defense",120+0,Normal,356
Rated Bullet game,0-1,1507,1888,-3,3,A00,Hungarian Opening: Sicilian Invitation,0+1,Time forfeit,357
Rated Bullet game,1-0,1891,1504,3,-2,A40,English Defense #2,0+1,Time forfeit,358
Rated Bullet game,0-1,1504,1891,-2,3,A00,Hungarian Opening: Sicilian Invitation,0+1,Time forfeit,359
Rated Blitz game,0-1,1530,1625,-8,33,C41,Philidor Defense #4,300+3,Normal,360
Rated Bullet game,1-0,1894,1502,3,-3,A40,English Defense #2,0+1,Time forfeit,361
Rated Blitz game,0-1,1461,1679,-5,5,C68,"Ruy Lopez: Exchange Variation, Lutikov Variation",300+0,Normal,362
Rated Bullet game,1-0,1502,1894,25,-25,A00,Hungarian Opening: Sicilian Invitation,0+1,Normal,363
Rated Classical game,0-1,1502,1720,-5,6,C28,"Vienna Game: Stanley Variation, Three Knights Variation",480+0,Normal,364
Rated Blitz game,1-0,1841,1758,10,-8,D00,Queen's Pawn Game,300+0,Normal,365
Rated Bullet game,1-0,1869,1527,3,-4,A40,Queen's Pawn,60+0,Normal,366
Rated Classical game,1-0,1803,1820,11,-28,B12,Caro-Kann Defense: Advance Variation,480+8,Normal,367
Rated Bullet game,0-1,2007,1931,-18,34,D37,"Queen's Gambit Declined: Harrwitz Attack, Orthodox Defense",120+0,Normal,368
Rated Blitz game,1-0,1684,1417,5,-31,B30,Sicilian Defense: Old Sicilian,240+0,Time forfeit,369
Rated Bullet game,0-1,1523,1872,-3,4,A02,Bird Opening,60+0,Normal,370
Rated Classical game,0-1,1517,1282,-19,20,C46,Three Knights Opening #2,600+0,Normal,371
Rated Classical game,0-1,1383,1641,-5,4,B01,Scandinavian Defense,1800+8,Time forfeit,372
Rated Bullet game,1-0,1876,1520,3,-4,A41,Old Indian Defense,0+1,Time forfeit,373
Rated Bullet game,1/2-1/2,1520,1876,10,-11,A00,Van't Kruijs Opening,0+1,Normal,374
Rated Classical game,1-0,1301,1535,20,-17,C20,King's Pawn Game: Wayward Queen Attack,300+9,Normal,375
Rated Blitz game,1/2-1/2,1633,1456,-7,5,B08,"Pirc Defense: Classical Variation, Quiet System",300+0,Normal,376
Rated Bullet game,1-0,1965,1989,28,-16,A34,"English Opening: Symmetrical Variation, Three Knights Variation",120+0,Time forfeit,377
Rated Bullet game,0-1,1242,1537,-19,6,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",60+0,Time forfeit,378
Rated Bullet game,1-0,1865,1516,3,-3,A41,Old Indian Defense,0+1,Time forfeit,379
Rated Blitz game,0-1,1750,1851,-8,9,C00,French Defense: Knight Variation,300+0,Time forfeit,380
Rated Bullet game,0-1,1516,1865,-3,3,A00,Mieses Opening,0+1,Time forfeit,381
Rated Classical game,0-1,1497,1931,-2,2,C27,Vienna Game,480+0,Normal,382
Rated Bullet game,1-0,1868,1513,4,-4,A40,Queen's Pawn,0+1,Normal,383
Rated Classical game,0-1,1605,1651,-9,11,B50,Sicilian Defense: Delayed Alapin,840+0,Time forfeit,384
Rated Classical game,0-1,1641,1500,-10,260,C34,"King's Gambit Accepted, Schallopp Defense",300+8,Time forfeit,385
Rated Bullet game,0-1,1513,1868,-4,4,A04,Zukertort Opening: Sicilian Invitation,0+1,Time forfeit,386
Rated Bullet game,1-0,1872,1509,3,-3,A40,Horwitz Defense,0+1,Normal,387
Rated Bullet game,0-1,1509,1872,-3,3,A04,Zukertort Opening: Sicilian Invitation,0+1,Normal,388
Rated Bullet game,1-0,1872,1509,3,-3,A40,Queen's Pawn,0+1,Time forfeit,389
Rated Bullet game,0-1,1509,1872,-3,3,A00,Van't Kruijs Opening,0+1,Time forfeit,390
Rated Bullet game,0-1,1875,1506,-25,26,A40,English Defense #2,0+1,Time forfeit,391
Rated Bullet game,0-1,1506,1875,-3,3,A00,Gedult's Opening,0+1,Time forfeit,392
Rated Blitz game,1-0,1574,1461,8,-8,B08,"Pirc Defense: Classical Variation, Quiet System",300+0,Normal,393
Rated Bullet game,1-0,1875,1506,3,-3,A41,Old Indian Defense,0+1,Time forfeit,394
Rated Classical game,0-1,1645,1679,-10,19,D20,Queen's Gambit Accepted,180+15,Normal,395
Rated Blitz game,0-1,1860,1742,-17,14,A40,Englund Gambit,300+0,Time forfeit,396
Rated Bullet game,1-0,1223,1521,93,-19,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+0,Time forfeit,397
Rated Bullet game,0-1,1503,1878,-3,4,A00,Van't Kruijs Opening,0+1,Normal,398
Rated Classical game,1-0,1495,1814,20,-19,C00,French Defense: Queen's Knight,480+0,Time forfeit,399
Rated Classical game,1-0,1498,1522,13,-12,C44,King's Pawn Game: Tayler Opening,1560+30,Normal,400
Rated Classical game,0-1,1161,1358,-7,5,C20,English Opening: The Whale,540+0,Normal,401
Rated Bullet game,1-0,1882,1500,3,-3,A40,Horwitz Defense,0+1,Normal,402
Rated Classical game,0-1,1363,1154,-17,22,C00,French Defense: Steinitz Attack,540+0,Normal,403
Rated Bullet game,0-1,1497,1885,-3,3,A43,Old Benoni Defense,0+1,Time forfeit,404
Rated Classical game,1-0,1302,1503,18,-58,C00,French Defense: Steinitz Attack,600+0,Normal,405
Rated Bullet game,0-1,1316,1470,-29,7,C00,French Defense #2,60+0,Normal,406
Rated Bullet game,1-0,1888,1494,3,-3,A40,Englund Gambit,0+1,Normal,407
Rated Bullet game,0-1,1494,1888,-3,3,B20,Sicilian Defense,0+1,Normal,408
Rated Blitz game,1-0,1878,1771,8,-8,B06,Modern Defense,120+2,Normal,409
Rated Bullet game,1-0,1888,1494,3,-3,D08,Queen's Gambit Refused: Albin Countergambit,0+1,Time forfeit,410
Rated Classical game,1-0,1510,1511,11,-12,A41,Queen's Pawn,1560+30,Normal,411
Rated Classical game,1-0,1635,1594,10,-13,E61,King's Indian Defense,480+0,Normal,412
Rated Bullet game,0-1,1315,1477,-8,6,A01,Nimzo-Larsen Attack,60+0,Time forfeit,413
Rated Classical game,1-0,1313,1326,19,-31,B22,Sicilian Defense: Alapin Variation,300+12,Time forfeit,414
Rated Bullet game,0-1,1491,1891,-3,2,A43,Benoni Defense: Benoni Gambit Accepted,0+1,Time forfeit,415
Rated Bullet game,1-0,1287,1591,78,-20,C50,Italian Game: Giuoco Pianissimo,60+0,Normal,416
Rated Classical game,0-1,1176,1346,-8,6,C20,King's Pawn Game: Leonardis Variation,540+0,Normal,417
Rated Bullet game,1-0,1891,1491,2,-3,A41,Old Indian Defense,0+1,Normal,418
Rated Bullet game,0-1,1488,1893,-3,3,B20,Sicilian Defense,0+1,Time forfeit,419
Rated Bullet game,0-1,1571,1365,-17,65,C40,King's Pawn Game: Busch-Gass Gambit,60+0,Normal,420
Rated Classical game,1-0,1459,1445,14,-32,C57,"Italian Game: Two Knights Defense, Knight Attack",600+8,Normal,421
Rated Blitz game,1-0,1796,1723,8,-8,A20,English Opening: King's English Variation,180+1,Normal,422
Rated Bullet game,1-0,1896,1485,3,-3,A41,Old Indian Defense,0+1,Normal,423
Rated Bullet game,0-1,1485,1896,-3,3,A00,Mieses Opening,0+1,Normal,424
Rated Blitz game,0-1,1582,1310,-18,32,B02,Alekhine Defense: Scandinavian Variation,180+3,Normal,425
Rated Bullet game,1-0,1896,1485,3,-3,A40,Englund Gambit,0+1,Time forfeit,426
Rated Bullet game,1-0,1482,1899,28,-28,C00,Queen's Pawn Game: Franco-Sicilian Defense,0+1,Time forfeit,427
Rated Classical game,0-1,1352,1168,-16,21,C20,King's Pawn Game: Wayward Queen Attack,540+0,Time forfeit,428
Rated Blitz game,0-1,1756,1763,-10,11,B06,Modern Defense,120+2,Normal,429
Rated Bullet game,1-0,1430,1510,47,-15,B00,Caro-Kann Defense: Hillbilly Attack,60+0,Time forfeit,430
Rated Bullet game,1-0,1871,1510,4,-4,D31,Semi-Slav Defense: Accelerated Move Order,60+0,Normal,431
Rated Bullet game,1-0,1400,1341,8,-100,C41,Philidor Defense #3,120+1,Time forfeit,432
Rated Classical game,0-1,1378,1320,-13,14,C65,"Ruy Lopez Defense, Halloween Attack",1800+8,Time forfeit,433
Rated Bullet game,1-0,1871,1510,4,-4,D08,Queen's Gambit Refused: Albin Countergambit,0+1,Normal,434
Rated Blitz game,0-1,1774,1746,-12,11,C23,Bishop's Opening,120+2,Normal,435
Rated Bullet game,1-0,1495,1477,12,-33,D07,Queen's Gambit Refused: Chigorin Defense #3,60+0,Normal,436
Rated Blitz game,0-1,1381,1342,-73,18,B04,"Alekhine Defense: Modern Variation, Schmid Variation",180+3,Time forfeit,437
Rated Bullet game,0-1,1506,1875,-3,3,C00,Queen's Pawn Game: Franco-Sicilian Defense,0+1,Time forfeit,438
Rated Classical game,1-0,1645,1662,12,-13,D10,Slav Defense #2,840+0,Normal,439
Rated Bullet game,0-1,1444,1507,-27,9,B06,Modern Defense,60+0,Normal,440
Rated Classical game,0-1,1581,1594,-13,11,B45,"Sicilian Defense: Paulsen Variation, Normal Variation",480+0,Normal,441
Rated Bullet game,1-0,1851,1483,3,-2,B06,Modern Defense,60+0,Normal,442
Rated Classical game,0-1,1843,1795,-13,13,A30,English Opening: Symmetrical Variation,480+8,Normal,443
Rated Classical game,0-1,1499,1521,-11,10,B21,Sicilian Defense: Smith-Morra Gambit #2,1560+30,Normal,444
Rated Bullet game,1-0,1851,1481,4,-3,A40,Horwitz Defense,60+0,Time forfeit,445
Rated Bullet game,1-0,1516,1417,9,-22,D20,Queen's Gambit Accepted,60+0,Normal,446
Rated Bullet game,1-0,1408,1092,4,-13,A21,English Opening: King's English Variation,120+1,Time forfeit,447
Rated Classical game,0-1,1413,1473,-27,12,D00,Queen's Pawn Game #3,600+8,Normal,448
Rated Bullet game,1-0,1502,1554,14,-15,C53,"Italian Game: Classical Variation, La Bourdonnais Variation",120+0,Normal,449
Rated Blitz game,0-1,1431,1391,-158,10,B02,Alekhine Defense: Two Pawn Attack,240+4,Time forfeit,450
Rated Bullet game,0-1,1554,1502,-15,14,B01,Scandinavian Defense: Mieses-Kotroc Variation,120+0,Time forfeit,451
Rated Bullet game,1-0,1854,1855,13,-15,C00,Queen's Pawn Game: Franco-Sicilian Defense,60+0,Normal,452
Rated Bullet game,0-1,1395,1525,-18,8,B00,Caro-Kann Defense: Hillbilly Attack,60+0,Normal,453
Rated Classical game,0-1,1189,1554,-3,11,C20,King's Pawn Game: Leonardis Variation,540+0,Normal,454
Rated Classical game,0-1,1434,1707,-4,5,D02,Queen's Pawn Game: Zukertort Variation,300+8,Normal,455
Rated Bullet game,0-1,1525,1395,-16,38,D20,Queen's Gambit Accepted,60+0,Time forfeit,456
Rated Bullet game,0-1,1878,1503,-27,27,A40,Queen's Pawn,0+1,Time forfeit,457
Rated Blitz game,0-1,1757,1886,-7,7,B10,Caro-Kann Defense,300+0,Normal,458
Rated Classical game,1-0,1657,1649,11,-12,D10,Slav Defense #2,840+0,Normal,459
Rated Bullet game,0-1,1435,1478,-126,8,B00,Borg Defense,60+0,Time forfeit,460
Rated Blitz game,1/2-1/2,1614,1360,-7,12,B02,Alekhine Defense: Scandinavian Variation,180+3,Normal,461
Rated Bullet game,1-0,1867,1840,12,-14,B40,Sicilian Defense: French Variation,60+0,Normal,462
Rated Bullet game,0-1,1516,1539,-11,12,C34,"King's Gambit Accepted, King's Knight Gambit",120+0,Normal,463
Rated Classical game,1-0,1358,1166,5,-24,C40,King's Pawn Game: Damiano Defense,300+5,Normal,464
Rated Classical game,1-0,1719,1488,10,-5,A04,Zukertort Opening: Queen's Gambit Invitation,900+10,Normal,465
Rated Classical game,0-1,1334,1273,-14,24,C42,Russian Game: Three Knights Game,600+0,Normal,466
Rated Classical game,1-0,1808,1830,12,-12,D30,Queen's Gambit Declined,480+8,Normal,467
Rated Classical game,0-1,1568,1760,-7,6,C11,French Defense: Classical Variation,480+0,Normal,468
Rated Bullet game,0-1,1433,1486,-22,10,B06,Modern Defense,60+0,Time forfeit,469
Rated Bullet game,1-0,1826,1879,17,-15,D31,Queen's Gambit Declined: Queen's Knight Variation,60+0,Time forfeit,470
Rated Classical game,0-1,1443,1531,-9,9,D00,Queen's Pawn Game: Mason Attack,1560+30,Normal,471
Rated Classical game,1-0,1363,1482,15,-15,B02,Alekhine Defense: Maroczy Variation,300+5,Normal,472
Rated Bullet game,0-1,1411,1551,-16,7,C50,Italian Game: Giuoco Pianissimo,60+0,Time forfeit,473
Rated Bullet game,0-1,1864,1843,-13,15,A43,Franco-Benoni Defense,60+0,Normal,474
Rated Bullet game,1-0,1505,1404,8,-13,C34,"King's Gambit Accepted, Schallopp Defense",120+0,Time forfeit,475
Rated Classical game,0-1,1500,1540,-157,7,B23,Sicilian Defense: Closed Variation,1560+30,Normal,476
Rated Bullet game,1-0,1858,1851,13,-13,D31,Queen's Gambit Declined: Queen's Knight Variation,60+0,Normal,477
Rated Bullet game,1-0,1395,1558,34,-17,C20,King's Pawn Game: King's Head Opening #2,60+0,Time forfeit,478
Rated Blitz game,0-1,1694,1815,-7,7,D02,Queen's Pawn Game: Krause Variation,180+2,Normal,479
Rated Classical game,0-1,1500,1637,-119,6,B01,Scandinavian Defense,840+0,Normal,480
Rated Bullet game,0-1,1893,1513,-19,22,A06,Zukertort Opening: Tennison Gambit,60+0,Time forfeit,481
Rated Blitz game,0-1,1467,1372,-14,22,B02,Alekhine Defense: Scandinavian Variation,180+3,Normal,482
Rated Classical game,1-0,1378,1366,11,-17,C00,French Defense: Steinitz Attack,300+5,Normal,483
Rated Blitz game,0-1,1522,1664,-7,7,B20,Sicilian Defense: Bowdler Attack,300+3,Normal,484
Rated Blitz game,0-1,1394,1508,-12,8,B22,Sicilian Defense: Alapin Variation,180+3,Time forfeit,485
